,player_name,player_age,from_team,from_competition,to_team,to_competition,transfer_date,first_nationality,second_nationality,market_value_number,transfer_fee_number,transfer_fee_other
46,Görkem Can,19,Schalke 04 II,Regionalliga West,FC Groningen,Eredivisie,1/25/2020,Turkey,Germany,50,0,?
47,Sondre Tronstad,24,Haugesund,Eliteserien,Vitesse,Eredivisie,1/24/2020,Norway,,400,600,
48,Luciano Slagveer,26,FC Emmen,Eredivisie,Puskás AFC,NB I.,1/23/2020,Netherlands,Suriname,400,50,
49,Jordan Spence,29,Without Club,None,ADO Den Haag,Eredivisie,1/22/2020,England,,400,0,-
50,Lennart Czyborra,20,Heracles Almelo,Eredivisie,Atalanta,Serie A,1/22/2020,Germany,,3200,4500,
51,Yassin Ayoub,26,Feyenoord,Eredivisie,Panathinaikos,Super League 1,1/22/2020,Morocco,Netherlands,2000,0,Free transfer
52,Emil Hansson,21,Hannover 96,2. Bundesliga,RKC Waalwijk,Eredivisie,1/22/2020,Sweden,Norway,800,0,Loan
53,Amir Absalem,22,FC Groningen,Eredivisie,Almere City,Keuken Kampioen Divisie,1/21/2020,Netherlands,Morocco,325,0,Loan
54,Luka Adzic,21,RSC Anderlecht,Jupiler Pro League,FC Emmen,Eredivisie,1/21/2020,Serbia,,900,0,Loan
55,Rico Strieder,27,FC Utrecht,Eredivisie,PEC Zwolle,Eredivisie,1/21/2020,Germany,,800,0,Loan
56,Görkem Saglam,22,VfL Bochum,2. Bundesliga,Willem II,Eredivisie,1/20/2020,Germany,Turkey,300,0,Free transfer
57,Richard van der Venne,27,Go Ahead Eagles,Keuken Kampioen Divisie,RKC Waalwijk,Eredivisie,1/20/2020,Netherlands,,325,100,
58,Kristoffer Peterson,25,Swansea,Championship,FC Utrecht,Eredivisie,1/20/2020,Sweden,,1600,0,Loan
59,Damian van Bruggen,24,VVV-Venlo,Eredivisie,Inter Zapresic,1.HNL,1/18/2020,Netherlands,,325,0,?
60,Noa Lang,20,Ajax,Eredivisie,FC Twente,Eredivisie,1/18/2020,Netherlands,Suriname,2700,0,Loan
61,Nemanja Mihajlovic,24,Heerenveen,Eredivisie,Arka Gdynia,Ekstraklasa,1/17/2020,Serbia,,525,450,
62,Stefan Velkov,23,FC Den Bosch,Keuken Kampioen Divisie,RKC Waalwijk,Eredivisie,1/17/2020,Bulgaria,,325,0,Loan
63,Tudor Baluta,21,Brighton,Premier League,ADO Den Haag,Eredivisie,1/17/2020,Romania,,3600,0,Loan
64,Jamal Blackman,26,Vitesse,Eredivisie,Chelsea,Premier League,1/16/2020,England,Jamaica,400,0,End of loan
65,Kenneth Vermeer,34,Feyenoord,Eredivisie,Los Angeles FC,MLS,1/15/2020,Netherlands,Suriname,1600,0,?
