,player_id,player_name,player_position,player_age,player_nat,from_team,to_team,season,transfer_direction,international_transfer,from_country,to_country,market_value_number,transfer_fee_number,transfer_fee_other
46,151765,Wim Bleijenberg,Centre-Forward,25,Netherlands,Rigtersbleek,Ajax Amsterdam,1956/1957,in,False,Netherlands,Netherlands,0.0,0,?
47,207300,Albert Post,Midfielder,21,Netherlands,Unknown,Ajax Amsterdam,1956/1957,in,True,,Netherlands,0.0,0,?
48,152407,Sjaak Swart,Right Winger,17,Netherlands,Ajax U19,Ajax Amsterdam,1956/1957,in,False,Netherlands,Netherlands,0.0,0,-
49,187059,Ad Visser,Defender,21,Netherlands,Ajax Amsterdam,DWS,1956/1957,out,False,Netherlands,Netherlands,0.0,0,?
50,621198,Joop Butter,Right-Back,19,Netherlands,Ajax Amsterdam,Go Ahead,1956/1957,out,False,Netherlands,Netherlands,0.0,0,?
51,242241,Loek Feijen,Forward,25,Netherlands,Limburgia,BVC Amsterdam,1956/1957,in,False,Netherlands,Netherlands,0.0,0,Free transfer
52,242243,Cees Kick,Left Winger,19,Netherlands,Unknown,BVC Amsterdam,1956/1957,in,True,,Netherlands,0.0,0,?
53,152051,Peet Geel,Left Winger,26,Netherlands,BVC Amsterdam,Sparta,1956/1957,out,False,Netherlands,Netherlands,0.0,0,?
54,486467,Cor Brom,Forward,23,Netherlands,BVC Amsterdam,Limburgia,1956/1957,out,False,Netherlands,Netherlands,0.0,0,?
55,521588,Bozidar Sencar,Midfielder,29,Croatia,Bayern Munich ,NAC,1957/1958,in,True,Germany,Netherlands,0.0,0,?
56,620346,Adri Pelkmans,Left-Back,21,Netherlands,Unknown,NAC,1957/1958,in,True,,Netherlands,0.0,0,?
57,221356,Bram Lussenburg,Midfielder,35,Netherlands,NAC,Unknown,1957/1958,out,True,Netherlands,,0.0,0,?
58,399493,Henk Matheeuwissen,Left Winger,27,Netherlands,NAC,UVS,1957/1958,out,False,Netherlands,Netherlands,0.0,0,?
59,152046,Piet Fransen,Left Midfield,20,Netherlands,Velocitas,GVAV Groningen,1957/1958,in,False,Netherlands,Netherlands,0.0,7,
60,352051,Bé Kuiper,Central Midfield,22,Netherlands,Velocitas,GVAV Groningen,1957/1958,in,False,Netherlands,Netherlands,0.0,0,?
61,323447,Bram van der Hoeven,Right Midfield,30,Netherlands,Emma,GVAV Groningen,1957/1958,in,False,Netherlands,Netherlands,0.0,0,?
62,239302,Henk Medema Jr.,Midfielder,16,Netherlands,GVAV Groningen,Unknown,1957/1958,out,True,Netherlands,,0.0,0,?
63,239565,Heiko Wolda,Centre-Forward,29,Netherlands,GVAV Groningen,Retired,1957/1958,out,True,Netherlands,,0.0,0,-
64,152529,Piet Kruiver,Centre-Forward,19,Netherlands,KFC,PSV Eindhoven,1957/1958,in,False,Netherlands,Netherlands,0.0,18,
65,188698,Pim Bekkering,Goalkeeper,25,Netherlands,'t Gooi,PSV Eindhoven,1957/1958,in,False,Netherlands,Netherlands,0.0,0,?
66,346534,Hans Verhagen,Forward,20,Netherlands,Quick 1888,PSV Eindhoven,1957/1958,in,False,Netherlands,Netherlands,0.0,0,?
67,240418,Milan Nikolic,Forward,28,Serbia,PSV Eindhoven,Willem II,1957/1958,out,False,Netherlands,Netherlands,0.0,9,
68,154132,Lieuwe Steiger,Goalkeeper,33,Netherlands,PSV Eindhoven,Retired,1957/1958,out,True,Netherlands,,0.0,0,-
69,207379,Donald Feldmann,Left Winger,18,Netherlands,Unknown,Ajax Amsterdam,1957/1958,in,True,,Netherlands,0.0,0,?
70,207449,Jan Fransz,Centre-Back,20,Netherlands,Unknown,Ajax Amsterdam,1957/1958,in,True,,Netherlands,0.0,0,?
71,207456,Jan Quakernaat,Defender,22,Netherlands,Unknown,Ajax Amsterdam,1957/1958,in,True,,Netherlands,0.0,0,?
72,207384,Guus van Ham,Midfielder,22,Netherlands,Zeeburgia,Ajax Amsterdam,1957/1958,in,False,Netherlands,Netherlands,0.0,0,?
73,207461,Toon van der Linde,Forward,20,Netherlands,Unknown,Ajax Amsterdam,1957/1958,in,True,,Netherlands,0.0,0,?
74,207447,Wim Feldmann,Defender,26,Netherlands,SC Enschede,Ajax Amsterdam,1957/1958,in,False,Netherlands,Netherlands,0.0,0,?
75,207458,Jan Snoeks,Forward,25,Netherlands,Stormvogels,Ajax Amsterdam,1957/1958,in,False,Netherlands,Netherlands,0.0,0,?
76,153053,Bennie Muller,Defensive Midfield,18,Netherlands,Ajax U19,Ajax Amsterdam,1957/1958,in,False,Netherlands,Netherlands,0.0,0,-
77,207288,Klaas Bakker,Forward,31,Netherlands,Ajax Amsterdam,Unknown,1957/1958,out,True,Netherlands,,0.0,0,?
78,207300,Albert Post,Midfielder,22,Netherlands,Ajax Amsterdam,Unknown,1957/1958,out,True,Netherlands,,0.0,0,?
79,207295,Henk Elzer,Midfielder,24,Netherlands,Ajax Amsterdam,Willem II,1957/1958,out,False,Netherlands,Netherlands,0.0,0,?
80,207289,Luuk Bijker,Midfielder,25,Netherlands,Ajax Amsterdam,DWS,1957/1958,out,False,Netherlands,Netherlands,0.0,0,?
81,151956,Gé van Dijk,Forward,33,Netherlands,Ajax Amsterdam,Retired,1957/1958,out,True,Netherlands,,0.0,0,-
82,154374,Fons van Wissen,Right Midfield,25,Netherlands,MVV,PSV Eindhoven,1958/1959,in,False,Netherlands,Netherlands,0.0,0,?
83,390749,André Orval,Central Midfield,17,Netherlands,SV Blerick,PSV Eindhoven,1958/1959,in,False,Netherlands,Netherlands,0.0,0,?
84,289345,Fred Röhrig,Left Midfield,31,Netherlands,RW Essen,PSV Eindhoven,1958/1959,in,True,Germany,Netherlands,0.0,0,?
85,188710,Wim Wolbers,Left Winger,17,Netherlands,Unknown,PSV Eindhoven,1958/1959,in,True,,Netherlands,0.0,0,?
86,515879,Daniel Ekner,Forward,30,Sweden,RW Essen,PSV Eindhoven,1958/1959,in,True,Germany,Netherlands,0.0,0,?
87,382110,George Voorjans,Right-Back,20,Netherlands,PSV U19,PSV Eindhoven,1958/1959,in,False,Netherlands,Netherlands,0.0,0,-
88,240404,Bert de Jongh,Midfielder,28,Netherlands,PSV Eindhoven,'t Gooi,1958/1959,out,False,Netherlands,Netherlands,0.0,8,
89,240399,Theo Buenen,Defender,29,Netherlands,PSV Eindhoven,'t Gooi,1958/1959,out,False,Netherlands,Netherlands,0.0,0,?
90,240405,Jacques de Wit,Centre-Forward,25,Netherlands,PSV Eindhoven,Unknown,1958/1959,out,True,Netherlands,,0.0,0,?
91,240403,Miel D'Hooghe,Midfielder,35,Netherlands,PSV Eindhoven,Retired,1958/1959,out,True,Netherlands,,0.0,0,-
92,686755,Bert Willems,Forward,19,Netherlands,Unknown,MVV Maastricht,1958/1959,in,True,,Netherlands,0.0,0,?
93,665399,Ladislav Butkovic,Forward,29,Serbia,F. Düsseldorf,MVV Maastricht,1958/1959,in,True,Germany,Netherlands,0.0,0,?
94,618176,Michel Thal,Centre-Back,17,Netherlands,Maastricht U19,MVV Maastricht,1958/1959,in,False,Netherlands,Netherlands,0.0,0,-
95,154374,Fons van Wissen,Right Midfield,25,Netherlands,MVV Maastricht,PSV Eindhoven,1958/1959,out,False,Netherlands,Netherlands,0.0,0,?
96,240513,Georg Hecht,Midfielder,33,Germany,MVV Maastricht,Retired,1958/1959,out,True,Netherlands,,0.0,0,-
97,207469,Jan Seelen,Centre-Forward,19,Netherlands,VVV,Ajax Amsterdam,1958/1959,in,False,Netherlands,Netherlands,0.0,14,
98,187036,Bertus Hoogerman,Goalkeeper,20,Netherlands,Unknown,Ajax Amsterdam,1958/1959,in,True,,Netherlands,0.0,0,?
99,207472,Bobby Westra,Forward,17,Netherlands,Unknown,Ajax Amsterdam,1958/1959,in,True,,Netherlands,0.0,0,?
100,207480,Bozo Broketa,Defender,35,Jugoslawien (SFR),Limburgia,Ajax Amsterdam,1958/1959,in,False,Netherlands,Netherlands,0.0,0,?
101,187059,Ad Visser,Defender,22,Netherlands,DWS/A,Ajax Amsterdam,1958/1959,in,False,Netherlands,Netherlands,0.0,0,?
102,207481,Wim Kluft,Goalkeeper,24,Netherlands,Unknown,Ajax Amsterdam,1958/1959,in,True,,Netherlands,0.0,0,?
103,153802,Eddy Pieters Graafland,Goalkeeper,24,Netherlands,Ajax Amsterdam,Feijenoord,1958/1959,out,False,Netherlands,Netherlands,0.0,61,
104,187059,Ad Visser,Defender,23,Netherlands,Ajax Amsterdam,DWS/A,1958/1959,out,False,Netherlands,Netherlands,0.0,0,?
105,153041,Rinus Michels,Forward,30,Netherlands,Ajax Amsterdam,Retired,1958/1959,out,True,Netherlands,,0.0,0,-
106,148725,Jan Klaassens,Left Midfield,27,Netherlands,VVV,RV & AV Feijenoord,1959/1960,in,False,Netherlands,Netherlands,0.0,45,
107,151753,Rinus Bennaars,Right Winger,27,Netherlands,NOAD,RV & AV Feijenoord,1959/1960,in,False,Netherlands,Netherlands,0.0,0,?
108,152525,Reinier Kreijermaat,Midfielder,24,Netherlands,Elinkwijk,RV & AV Feijenoord,1959/1960,in,False,Netherlands,Netherlands,0.0,0,?
109,188761,Ab Fafié,Left-Back,18,Netherlands,Feyenoord U19,RV & AV Feijenoord,1959/1960,in,False,Netherlands,Netherlands,0.0,0,-
110,240472,Jan Brilleman,Left-Back,25,Netherlands,RV & AV Feijenoord,NOAD,1959/1960,out,False,Netherlands,Netherlands,0.0,10,
111,154131,Piet Steenbergen,Midfielder,30,Netherlands,RV & AV Feijenoord,Retired,1959/1960,out,True,Netherlands,,0.0,0,-
112,152553,Piet van der Kuil,Right Winger,26,Netherlands,Ajax,PSV Eindhoven,1959/1960,in,False,Netherlands,Netherlands,0.0,59,
113,305630,Anders Svensson,Midfielder,20,Sweden,Malmö FF,PSV Eindhoven,1959/1960,in,True,Sweden,Netherlands,0.0,0,?
114,346529,Wim van Kessel,Left-Back,22,Netherlands,Budel,PSV Eindhoven,1959/1960,in,False,Netherlands,Netherlands,0.0,0,?
115,154132,Lieuwe Steiger,Goalkeeper,35,Netherlands,Retired,PSV Eindhoven,1959/1960,in,True,,Netherlands,0.0,0,-
116,346534,Hans Verhagen,Forward,22,Netherlands,PSV Eindhoven,Leeuwarden,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
117,390749,André Orval,Central Midfield,18,Netherlands,PSV Eindhoven,VVV,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
118,323756,Joop Oomens,Right Winger,18,Netherlands,PSV Eindhoven,Eindhoven,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
119,154132,Lieuwe Steiger,Goalkeeper,35,Netherlands,PSV Eindhoven,Retired,1959/1960,out,True,Netherlands,,0.0,0,-
120,244081,Piet Timmermans,Left Midfield,20,Netherlands,SV TOP,Willem II Tilburg,1959/1960,in,False,Netherlands,Netherlands,0.0,1,
121,242208,Leo Snijders,Forward,22,Netherlands,VVV,Willem II Tilburg,1959/1960,in,False,Netherlands,Netherlands,0.0,0,?
122,207295,Henk Elzer,Midfielder,26,Netherlands,Willem II Tilburg,Unknown,1959/1960,out,True,Netherlands,,0.0,0,?
123,289599,Rik Matthys,Defender,33,Belgium,Willem II Tilburg,Unknown,1959/1960,out,True,Netherlands,,0.0,0,?
124,241274,Peter Fitzgerald,Centre-Forward,22,Ireland,Watford,RV & AV Sparta,1959/1960,in,True,England,Netherlands,0.0,45,
125,176788,Johnny Crossan,Second Striker,20,Northern Ireland,Bristol City,RV & AV Sparta,1959/1960,in,True,England,Netherlands,0.0,0,?
126,241269,Wilco de Boer,Midfielder,19,Netherlands,Xerxes,RV & AV Sparta,1959/1960,in,False,Netherlands,Netherlands,0.0,0,?
127,241253,Jan Allart,Forward,22,Netherlands,Unknown,RV & AV Sparta,1959/1960,in,True,,Netherlands,0.0,0,?
128,241298,Hugo Meijers,Left Winger,18,Netherlands,Jong Sparta,RV & AV Sparta,1959/1960,in,False,Netherlands,Netherlands,0.0,0,-
129,152672,Tonnie van Leeuwen,Goalkeeper,16,Netherlands,Sparta U19,RV & AV Sparta,1959/1960,in,False,Netherlands,Netherlands,0.0,0,-
130,152051,Peet Geel,Left Winger,29,Netherlands,RV & AV Sparta,Xerxes,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
131,288258,Joop van Linstee,Right Winger,22,Netherlands,RV & AV Sparta,DFC,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
132,239557,Koos Verbeek,Right Midfield,30,Netherlands,RV & AV Sparta,Retired,1959/1960,out,True,Netherlands,,0.0,0,-
133,152145,Henk Groot,Centre-Forward,21,Netherlands,Telstar,Ajax Amsterdam,1959/1960,in,False,Netherlands,Netherlands,0.0,34,
134,187033,Cees Groot,Centre-Forward,27,Netherlands,Stormvogels,Ajax Amsterdam,1959/1960,in,False,Netherlands,Netherlands,0.0,14,
135,109371,Co Prins,Centre-Forward,21,Netherlands,Unknown,Ajax Amsterdam,1959/1960,in,True,,Netherlands,0.0,0,?
136,187059,Ad Visser,Defender,23,Netherlands,DWS/A,Ajax Amsterdam,1959/1960,in,False,Netherlands,Netherlands,0.0,0,?
137,187048,Kees Smit,Defender,19,Netherlands,Unknown,Ajax Amsterdam,1959/1960,in,True,,Netherlands,0.0,0,?
138,187046,Werner Schaaphok,Defender,17,Germany,Ajax U19,Ajax Amsterdam,1959/1960,in,False,Netherlands,Netherlands,0.0,0,-
139,152553,Piet van der Kuil,Right Winger,26,Netherlands,Ajax Amsterdam,PSV Eindhoven,1959/1960,out,False,Netherlands,Netherlands,0.0,59,
140,207304,Willy Schmidt,Forward,32,Netherlands,Ajax Amsterdam,Fortuna'54,1959/1960,out,False,Netherlands,Netherlands,0.0,14,
141,207481,Wim Kluft,Goalkeeper,25,Netherlands,Ajax Amsterdam,Unknown,1959/1960,out,True,Netherlands,,0.0,0,?
142,207454,Henk Koning,Defender,24,Netherlands,Ajax Amsterdam,Go Ahead,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
143,207458,Jan Snoeks,Forward,27,Netherlands,Ajax Amsterdam,Stormvogels,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
144,207461,Toon van der Linde,Forward,22,Netherlands,Ajax Amsterdam,Unknown,1959/1960,out,True,Netherlands,,0.0,0,?
145,187059,Ad Visser,Defender,24,Netherlands,Ajax Amsterdam,DWS/A,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
146,207294,Loek den Edel,Forward,25,Netherlands,Ajax Amsterdam,Alkmaar '54,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
147,207480,Bozo Broketa,Defender,36,Jugoslawien (SFR),Ajax Amsterdam,GOSK Dubrovnik,1959/1960,out,True,Netherlands,Croatia,0.0,0,?
148,207456,Jan Quakernaat,Defender,24,Netherlands,Ajax Amsterdam,JOS,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
149,207447,Wim Feldmann,Defender,28,Netherlands,Ajax Amsterdam,Retired,1959/1960,out,True,Netherlands,,0.0,0,-
150,486469,Peter Hoet,Forward,18,Netherlands,Unknown,HSV ADO,1959/1960,in,True,,Netherlands,0.0,0,?
151,349729,Joop Pattiselano,Goalkeeper,24,Netherlands,Unknown,HSV ADO,1959/1960,in,True,,Netherlands,0.0,0,?
152,323281,Theo Verlangen,Centre-Back,18,Netherlands,Unknown,HSV ADO,1959/1960,in,True,,Netherlands,0.0,0,?
153,658146,Wienus Schook,Right Midfield,21,Netherlands,Unknown,HSV ADO,1959/1960,in,True,,Netherlands,0.0,0,?
154,279874,Jacques Smit,Defender,17,Netherlands,ADO U19,HSV ADO,1959/1960,in,False,Netherlands,Netherlands,0.0,0,-
155,324949,Karel Jansen,Left Midfield,33,Netherlands,HSV ADO,DHC Delft,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
156,683662,Fred Eckhardt,Left Winger,19,Netherlands,HSV ADO,SHS,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
157,391510,Frans Kok,Goalkeeper,35,Netherlands,HSV ADO,SHS,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
158,394493,Harry Crompvoets,Right-Back,18,Netherlands,VVV '03,VVV Venlo,1959/1960,in,False,Netherlands,Netherlands,0.0,0,?
159,390749,André Orval,Central Midfield,18,Netherlands,PSV Eindhoven,VVV Venlo,1959/1960,in,False,Netherlands,Netherlands,0.0,0,?
160,152220,Harry Heijnen,Right Winger,18,Netherlands,VVV/Hel U19,VVV Venlo,1959/1960,in,False,Netherlands,Netherlands,0.0,0,-
161,148725,Jan Klaassens,Left Midfield,27,Netherlands,VVV Venlo,Feijenoord,1959/1960,out,False,Netherlands,Netherlands,0.0,45,
162,242208,Leo Snijders,Forward,22,Netherlands,VVV Venlo,Willem II,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
163,532725,Karl-Heinz Spikofski,Attacking Midfield,32,Germany,VVV Venlo,Wormatia Worms,1959/1960,out,True,Netherlands,Germany,0.0,0,?
164,306861,Erwin Sparendam,Centre-Back,24,Netherlands,Blauw-Wit,USV Elinkwijk,1959/1960,in,False,Netherlands,Netherlands,0.0,14,
165,409597,Ben Zweers,Centre-Forward,25,Netherlands,Rheden,USV Elinkwijk,1959/1960,in,False,Netherlands,Netherlands,0.0,7,
166,240684,Jacques Westphaal,Defender,30,Netherlands,DOS,USV Elinkwijk,1959/1960,in,False,Netherlands,Netherlands,0.0,0,?
167,409139,Gerrit Velthuis,Left-Back,24,Netherlands,Oldenzaal,USV Elinkwijk,1959/1960,in,False,Netherlands,Netherlands,0.0,0,?
168,152525,Reinier Kreijermaat,Midfielder,24,Netherlands,USV Elinkwijk,Feijenoord,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
169,317329,Leen van de Brink,Goalkeeper,25,Netherlands,USV Elinkwijk,USV Hercules,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
170,585354,Jan van Doesselaar,Left Winger,22,Netherlands,VVA,SV Blauw-Wit,1959/1960,in,False,Netherlands,Netherlands,0.0,1,
171,343903,Paul Degenaar,Right Winger,23,Suriname,Haarlem,SV Blauw-Wit,1959/1960,in,False,Netherlands,Netherlands,0.0,0,?
172,306861,Erwin Sparendam,Centre-Back,24,Netherlands,SV Blauw-Wit,Elinkwijk,1959/1960,out,False,Netherlands,Netherlands,0.0,14,
173,153951,Herman van Raalte,Goalkeeper,38,Netherlands,SV Blauw-Wit,SC Cambuur,1959/1960,out,False,Netherlands,Netherlands,0.0,0,?
174,459071,Leo Beerendonk,Centre-Forward,22,Netherlands,Limburgia,Rapid JC,1960/1961,in,False,Netherlands,Netherlands,0.0,0,?
175,617120,Pierre Kusters,Defender,21,Netherlands,RKSV Minor,Rapid JC,1960/1961,in,False,Netherlands,Netherlands,0.0,0,?
176,459071,Leo Beerendonk,Centre-Forward,22,Netherlands,Rapid JC,Ringwood City,1960/1961,out,True,Netherlands,Australia,0.0,0,?
177,394654,Frans van Balkom,Defender,20,Netherlands,Rapid JC,Ringwood City,1960/1961,out,True,Netherlands,Australia,0.0,0,?
178,154251,Gerrit Voges,Midfielder,27,Netherlands,SC Enschede,AVV DOS Utrecht,1960/1961,in,False,Netherlands,Netherlands,0.0,0,?
179,486474,Georgy Lipták,Defender,22,Hungary,RFC Lüttich,AVV DOS Utrecht,1960/1961,in,True,Belgium,Netherlands,0.0,0,?
180,244034,Nico van Zoghel,Goalkeeper,17,Netherlands,DOS Onder 19,AVV DOS Utrecht,1960/1961,in,False,Netherlands,Netherlands,0.0,0,-
181,188706,Bert Theunissen,Centre-Forward,20,Netherlands,Vitesse,AVV DOS Utrecht,1960/1961,in,False,Netherlands,Netherlands,0.0,0,
182,152524,Hans Kraay Sr.,Defender,23,Netherlands,AVV DOS Utrecht,Feijenoord,1960/1961,out,False,Netherlands,Netherlands,0.0,0,?
183,240668,Dirk Lammers,Midfielder,33,Netherlands,AVV DOS Utrecht,NOAD,1960/1961,out,False,Netherlands,Netherlands,0.0,0,?
184,240587,Jan van de Wint,Goalkeeper,31,Netherlands,AVV DOS Utrecht,Heracles,1960/1961,out,False,Netherlands,Netherlands,0.0,0,
185,151815,Frans Bouwmeester sr.,Left Midfield,20,Netherlands,NAC,RV & AV Feijenoord,1960/1961,in,False,Netherlands,Netherlands,0.0,73,
186,152524,Hans Kraay Sr.,Defender,23,Netherlands,DOS,RV & AV Feijenoord,1960/1961,in,False,Netherlands,Netherlands,0.0,0,?
187,152333,Hans van der Hoek,Defender,27,Netherlands,RV & AV Feijenoord,SC Enschede,1960/1961,out,False,Netherlands,Netherlands,0.0,14,
188,240541,Toon Meerman,Centre-Forward,26,Netherlands,RV & AV Feijenoord,Excelsior,1960/1961,out,False,Netherlands,Netherlands,0.0,14,
189,153131,Kees Rijvers,Attacking Midfield,34,Netherlands,RV & AV Feijenoord,Saint-Étienne,1960/1961,out,True,Netherlands,France,0.0,0,?
