player_id,player_name,player_position,player_age,player_nat,from_team,to_team,market_value,transfer_fee,season
352051,Bé Kuiper,Central Midfield,22,Netherlands,GVAV Groningen,Velocitas,-,?,1957/1958
323447,Bram van der Hoeven,Right Midfield,30,Netherlands,GVAV Groningen,Emma,-,?,1957/1958
239302,Henk Medema Jr.,Midfielder,16,Netherlands,Unknown,GVAV Groningen,-,?,1957/1958
239565,Heiko Wolda,Centre-Forward,29,Netherlands,Retired,GVAV Groningen,-,-,1957/1958
152529,Piet Kruiver,Centre-Forward,19,Netherlands,PSV Eindhoven,KFC,-,€18k,1957/1958
188698,Pim Bekkering,Goalkeeper,25,Netherlands,PSV Eindhoven,'t Gooi,-,?,1957/1958
346534,Hans Verhagen,Forward,20,Netherlands,PSV Eindhoven,Quick 1888,-,?,1957/1958
240418,Milan Nikolic,Forward,28,Serbia,Willem II,PSV Eindhoven,-,€9k,1957/1958
154132,Lieuwe Steiger,Goalkeeper,33,Netherlands,Retired,PSV Eindhoven,-,-,1957/1958
207379,Donald Feldmann,Left Winger,18,Netherlands,Ajax Amsterdam,Unknown,-,?,1957/1958
207449,Jan Fransz,Centre-Back,20,Netherlands,Ajax Amsterdam,Unknown,-,?,1957/1958
207456,Jan Quakernaat,Defender,22,Netherlands,Ajax Amsterdam,Unknown,-,?,1957/1958
207384,Guus van Ham,Midfielder,22,Netherlands,Ajax Amsterdam,Zeeburgia,-,?,1957/1958
207461,Toon van der Linde,Forward,20,Netherlands,Ajax Amsterdam,Unknown,-,?,1957/1958
207447,Wim Feldmann,Defender,26,Netherlands,Ajax Amsterdam,SC Enschede,-,?,1957/1958
207458,Jan Snoeks,Forward,25,Netherlands,Ajax Amsterdam,Stormvogels,-,?,1957/1958
153053,Bennie Muller,Defensive Midfield,18,Netherlands,Ajax Amsterdam,Ajax U19,-,-,1957/1958
207288,Klaas Bakker,Forward,31,Netherlands,Unknown,Ajax Amsterdam,-,?,1957/1958
207300,Albert Post,Midfielder,22,Netherlands,Unknown,Ajax Amsterdam,-,?,1957/1958
207295,Henk Elzer,Midfielder,24,Netherlands,Willem II,Ajax Amsterdam,-,?,1957/1958
207289,Luuk Bijker,Midfielder,25,Netherlands,DWS,Ajax Amsterdam,-,?,1957/1958
151956,Gé van Dijk,Forward,33,Netherlands,Retired,Ajax Amsterdam,-,-,1957/1958
154374,Fons van Wissen,Right Midfield,25,Netherlands,PSV Eindhoven,MVV,-,?,1958/1959
390749,André Orval,Central Midfield,17,Netherlands,PSV Eindhoven,SV Blerick,-,?,1958/1959
289345,Fred Röhrig,Left Midfield,31,Netherlands,PSV Eindhoven,RW Essen,-,?,1958/1959
188710,Wim Wolbers,Left Winger,17,Netherlands,PSV Eindhoven,Unknown,-,?,1958/1959
515879,Daniel Ekner,Forward,30,Sweden,PSV Eindhoven,RW Essen,-,?,1958/1959
382110,George Voorjans,Right-Back,20,Netherlands,PSV Eindhoven,PSV U19,-,-,1958/1959
240404,Bert de Jongh,Midfielder,28,Netherlands,'t Gooi,PSV Eindhoven,-,€8k,1958/1959
240405,Jacques de Wit,Centre-Forward,25,Netherlands,Unknown,PSV Eindhoven,-,?,1958/1959
240399,Theo Buenen,Defender,29,Netherlands,'t Gooi,PSV Eindhoven,-,?,1958/1959
240403,Miel D'Hooghe,Midfielder,35,Netherlands,Retired,PSV Eindhoven,-,-,1958/1959
665399,Ladislav Butkovic,Forward,29,Serbia,MVV Maastricht,F. Düsseldorf,-,?,1958/1959
686755,Bert Willems,Forward,19,Netherlands,MVV Maastricht,Unknown,-,?,1958/1959
618176,Michel Thal,Centre-Back,17,Netherlands,MVV Maastricht,Maastricht U19,-,-,1958/1959
154374,Fons van Wissen,Right Midfield,25,Netherlands,PSV Eindhoven,MVV Maastricht,-,?,1958/1959
240513,Georg Hecht,Midfielder,33,Germany,Retired,MVV Maastricht,-,-,1958/1959
207469,Jan Seelen,Centre-Forward,19,Netherlands,Ajax Amsterdam,VVV,-,€14k,1958/1959
187036,Bertus Hoogerman,Goalkeeper,20,Netherlands,Ajax Amsterdam,Unknown,-,?,1958/1959
207472,Bobby Westra,Forward,17,Netherlands,Ajax Amsterdam,Unknown,-,?,1958/1959
207480,Bozo Broketa,Defender,35,Jugoslawien (SFR),Ajax Amsterdam,Limburgia,-,?,1958/1959
187059,Ad Visser,Defender,22,Netherlands,Ajax Amsterdam,DWS/A,-,?,1958/1959
207481,Wim Kluft,Goalkeeper,24,Netherlands,Ajax Amsterdam,Unknown,-,?,1958/1959
153802,Eddy Pieters Graafland,Goalkeeper,24,Netherlands,Feijenoord,Ajax Amsterdam,-,€61k,1958/1959
187059,Ad Visser,Defender,23,Netherlands,DWS/A,Ajax Amsterdam,-,?,1958/1959
153041,Rinus Michels,Forward,30,Netherlands,Retired,Ajax Amsterdam,-,-,1958/1959
148725,Jan Klaassens,Left Midfield,27,Netherlands,RV & AV Feijenoord,VVV,-,€45k,1959/1960
151753,Rinus Bennaars,Right Winger,27,Netherlands,RV & AV Feijenoord,NOAD,-,?,1959/1960
152525,Reinier Kreijermaat,Midfielder,24,Netherlands,RV & AV Feijenoord,Elinkwijk,-,?,1959/1960
188761,Ab Fafié,Left-Back,18,Netherlands,RV & AV Feijenoord,Feyenoord U19,-,-,1959/1960
240472,Jan Brilleman,Left-Back,25,Netherlands,NOAD,RV & AV Feijenoord,-,€10k,1959/1960
154131,Piet Steenbergen,Midfielder,30,Netherlands,Retired,RV & AV Feijenoord,-,-,1959/1960
152553,Piet van der Kuil,Right Winger,26,Netherlands,PSV Eindhoven,Ajax,-,€59k,1959/1960
305630,Anders Svensson,Midfielder,20,Sweden,PSV Eindhoven,Malmö FF,-,?,1959/1960
346529,Wim van Kessel,Left-Back,22,Netherlands,PSV Eindhoven,Budel,-,?,1959/1960
154132,Lieuwe Steiger,Goalkeeper,35,Netherlands,PSV Eindhoven,Retired,-,-,1959/1960
346534,Hans Verhagen,Forward,22,Netherlands,Leeuwarden,PSV Eindhoven,-,?,1959/1960
390749,André Orval,Central Midfield,18,Netherlands,VVV,PSV Eindhoven,-,?,1959/1960
323756,Joop Oomens,Right Winger,18,Netherlands,Eindhoven,PSV Eindhoven,-,?,1959/1960
154132,Lieuwe Steiger,Goalkeeper,35,Netherlands,Retired,PSV Eindhoven,-,-,1959/1960
244081,Piet Timmermans,Left Midfield,20,Netherlands,Willem II Tilburg,SV TOP,-,€1k,1959/1960
242208,Leo Snijders,Forward,22,Netherlands,Willem II Tilburg,VVV,-,?,1959/1960
207295,Henk Elzer,Midfielder,26,Netherlands,Unknown,Willem II Tilburg,-,?,1959/1960
289599,Rik Matthys,Defender,33,Belgium,Unknown,Willem II Tilburg,-,?,1959/1960
241274,Peter Fitzgerald,Centre-Forward,22,Ireland,RV & AV Sparta,Watford,-,€45k,1959/1960
176788,Johnny Crossan,Second Striker,20,Northern Ireland,RV & AV Sparta,Bristol City,-,?,1959/1960
241269,Wilco de Boer,Midfielder,19,Netherlands,RV & AV Sparta,Xerxes,-,?,1959/1960
241253,Jan Allart,Forward,22,Netherlands,RV & AV Sparta,Unknown,-,?,1959/1960
241298,Hugo Meijers,Left Winger,18,Netherlands,RV & AV Sparta,Jong Sparta,-,-,1959/1960
152672,Tonnie van Leeuwen,Goalkeeper,16,Netherlands,RV & AV Sparta,Sparta U19,-,-,1959/1960
152051,Peet Geel,Left Winger,29,Netherlands,Xerxes,RV & AV Sparta,-,?,1959/1960
288258,Joop van Linstee,Right Winger,22,Netherlands,DFC,RV & AV Sparta,-,?,1959/1960
239557,Koos Verbeek,Right Midfield,30,Netherlands,Retired,RV & AV Sparta,-,-,1959/1960
152145,Henk Groot,Centre-Forward,21,Netherlands,Ajax Amsterdam,Telstar,-,€34k,1959/1960
187033,Cees Groot,Centre-Forward,27,Netherlands,Ajax Amsterdam,Stormvogels,-,€14k,1959/1960
187048,Kees Smit,Defender,19,Netherlands,Ajax Amsterdam,Unknown,-,?,1959/1960
109371,Co Prins,Centre-Forward,21,Netherlands,Ajax Amsterdam,Unknown,-,?,1959/1960
187059,Ad Visser,Defender,23,Netherlands,Ajax Amsterdam,DWS/A,-,?,1959/1960
187046,Werner Schaaphok,Defender,17,Germany,Ajax Amsterdam,Ajax U19,-,-,1959/1960
152553,Piet van der Kuil,Right Winger,26,Netherlands,PSV Eindhoven,Ajax Amsterdam,-,€59k,1959/1960
207304,Willy Schmidt,Forward,32,Netherlands,Fortuna'54,Ajax Amsterdam,-,€14k,1959/1960
207481,Wim Kluft,Goalkeeper,25,Netherlands,Unknown,Ajax Amsterdam,-,?,1959/1960
207454,Henk Koning,Defender,24,Netherlands,Go Ahead,Ajax Amsterdam,-,?,1959/1960
207458,Jan Snoeks,Forward,27,Netherlands,Stormvogels,Ajax Amsterdam,-,?,1959/1960
207461,Toon van der Linde,Forward,22,Netherlands,Unknown,Ajax Amsterdam,-,?,1959/1960
187059,Ad Visser,Defender,24,Netherlands,DWS/A,Ajax Amsterdam,-,?,1959/1960
207294,Loek den Edel,Forward,25,Netherlands,Alkmaar '54,Ajax Amsterdam,-,?,1959/1960
207480,Bozo Broketa,Defender,36,Jugoslawien (SFR),GOSK Dubrovnik,Ajax Amsterdam,-,?,1959/1960
207456,Jan Quakernaat,Defender,24,Netherlands,JOS,Ajax Amsterdam,-,?,1959/1960
207447,Wim Feldmann,Defender,28,Netherlands,Retired,Ajax Amsterdam,-,-,1959/1960
486469,Peter Hoet,Forward,18,Netherlands,HSV ADO,Unknown,-,?,1959/1960
349729,Joop Pattiselano,Goalkeeper,24,Netherlands,HSV ADO,Unknown,-,?,1959/1960
323281,Theo Verlangen,Centre-Back,18,Netherlands,HSV ADO,Unknown,-,?,1959/1960
658146,Wienus Schook,Right Midfield,21,Netherlands,HSV ADO,Unknown,-,?,1959/1960
279874,Jacques Smit,Defender,17,Netherlands,HSV ADO,ADO U19,-,-,1959/1960
324949,Karel Jansen,Left Midfield,33,Netherlands,DHC Delft,HSV ADO,-,?,1959/1960
683662,Fred Eckhardt,Left Winger,19,Netherlands,SHS,HSV ADO,-,?,1959/1960
391510,Frans Kok,Goalkeeper,35,Netherlands,SHS,HSV ADO,-,?,1959/1960
394493,Harry Crompvoets,Right-Back,18,Netherlands,VVV Venlo,VVV '03,-,?,1959/1960
390749,André Orval,Central Midfield,18,Netherlands,VVV Venlo,PSV Eindhoven,-,?,1959/1960
152220,Harry Heijnen,Right Winger,18,Netherlands,VVV Venlo,VVV/Hel U19,-,-,1959/1960
148725,Jan Klaassens,Left Midfield,27,Netherlands,Feijenoord,VVV Venlo,-,€45k,1959/1960
242208,Leo Snijders,Forward,22,Netherlands,Willem II,VVV Venlo,-,?,1959/1960
532725,Karl-Heinz Spikofski,Attacking Midfield,32,Germany,Wormatia Worms,VVV Venlo,-,?,1959/1960
306861,Erwin Sparendam,Centre-Back,24,Netherlands,USV Elinkwijk,Blauw-Wit,-,€14k,1959/1960
409597,Ben Zweers,Centre-Forward,25,Netherlands,USV Elinkwijk,Rheden,-,€7k,1959/1960
240684,Jacques Westphaal,Defender,30,Netherlands,USV Elinkwijk,DOS,-,?,1959/1960
409139,Gerrit Velthuis,Left-Back,24,Netherlands,USV Elinkwijk,Oldenzaal,-,?,1959/1960
152525,Reinier Kreijermaat,Midfielder,24,Netherlands,Feijenoord,USV Elinkwijk,-,?,1959/1960
317329,Leen van de Brink,Goalkeeper,25,Netherlands,USV Hercules,USV Elinkwijk,-,?,1959/1960
585354,Jan van Doesselaar,Left Winger,22,Netherlands,SV Blauw-Wit,VVA,-,€1k,1959/1960
343903,Paul Degenaar,Right Winger,23,Suriname,SV Blauw-Wit,Haarlem,-,?,1959/1960
306861,Erwin Sparendam,Centre-Back,24,Netherlands,Elinkwijk,SV Blauw-Wit,-,€14k,1959/1960
153951,Herman van Raalte,Goalkeeper,38,Netherlands,SC Cambuur,SV Blauw-Wit,-,?,1959/1960
459071,Leo Beerendonk,Centre-Forward,22,Netherlands,Rapid JC,Limburgia,-,?,1960/1961
617120,Pierre Kusters,Defender,21,Netherlands,Rapid JC,RKSV Minor,-,?,1960/1961
459071,Leo Beerendonk,Centre-Forward,22,Netherlands,Ringwood City,Rapid JC,-,?,1960/1961
394654,Frans van Balkom,Defender,20,Netherlands,Ringwood City,Rapid JC,-,?,1960/1961
154251,Gerrit Voges,Midfielder,27,Netherlands,AVV DOS Utrecht,SC Enschede,-,?,1960/1961
486474,Georgy Lipták,Defender,22,Hungary,AVV DOS Utrecht,RFC Lüttich,-,?,1960/1961
244034,Nico van Zoghel,Goalkeeper,17,Netherlands,AVV DOS Utrecht,DOS Onder 19,-,-,1960/1961
188706,Bert Theunissen,Centre-Forward,20,Netherlands,AVV DOS Utrecht,Vitesse,-,,1960/1961
240668,Dirk Lammers,Midfielder,33,Netherlands,NOAD,AVV DOS Utrecht,-,?,1960/1961
152524,Hans Kraay Sr.,Defender,23,Netherlands,Feijenoord,AVV DOS Utrecht,-,?,1960/1961
240587,Jan van de Wint,Goalkeeper,31,Netherlands,Heracles,AVV DOS Utrecht,-,,1960/1961
151815,Frans Bouwmeester sr.,Left Midfield,20,Netherlands,RV & AV Feijenoord,NAC,-,€73k,1960/1961
152524,Hans Kraay Sr.,Defender,23,Netherlands,RV & AV Feijenoord,DOS,-,?,1960/1961
152333,Hans van der Hoek,Defender,27,Netherlands,SC Enschede,RV & AV Feijenoord,-,€14k,1960/1961
240541,Toon Meerman,Centre-Forward,26,Netherlands,Excelsior,RV & AV Feijenoord,-,€14k,1960/1961
153131,Kees Rijvers,Attacking Midfield,34,Netherlands,Saint-Étienne,RV & AV Feijenoord,-,?,1960/1961
242189,Jan Louwers,Right Winger,29,Netherlands,PSV Eindhoven,Eindhoven,-,€30k,1960/1961
188709,Gerrit van Tilburg,Midfielder,18,Netherlands,PSV Eindhoven,Woensel,-,?,1960/1961
240428,Cor Smulders,Defender,24,Netherlands,NEC,PSV Eindhoven,-,€11k,1960/1961
346529,Wim van Kessel,Left-Back,23,Netherlands,Eindhoven,PSV Eindhoven,-,€10k,1960/1961
515879,Daniel Ekner,Forward,32,Sweden,Örgryte,PSV Eindhoven,-,?,1960/1961
240407,Piet Fransen,Left Winger,40,Netherlands,Retired,PSV Eindhoven,-,-,1960/1961
289345,Fred Röhrig,Left Midfield,33,Netherlands,Retired,PSV Eindhoven,-,-,1960/1961
391509,Piet van Neer,Goalkeeper,25,Netherlands,MVV Maastricht,Willem II,-,?,1960/1961
535909,Karl Vigna,Forward,28,Germany,MVV Maastricht,Spora Luxemburg,-,?,1960/1961
151902,Jeu van Bun,Right-Back,41,Netherlands,Willem II,MVV Maastricht,-,?,1960/1961
240603,Breur Weijzen,Goalkeeper,26,Netherlands,Unknown,MVV Maastricht,-,?,1960/1961
151902,Jeu van Bun,Right-Back,41,Netherlands,Willem II Tilburg,MVV,-,?,1960/1961
153037,Sjef Mertens,Defender,34,Netherlands,Willem II Tilburg,Unknown,-,?,1960/1961
109355,Hans-Georg Lambert,Defender,20,Germany,Willem II Tilburg,Saarbrücken,-,?,1960/1961
221360,Jan van Helden,Defender,25,Netherlands,Willem II Tilburg,NAC,-,?,1960/1961
188752,Willy Senders,Right Winger,19,Netherlands,Willem II Tilburg,DVS,-,?,1960/1961
244094,Kurt Zaro,Forward,31,Germany,SW Essen,Willem II Tilburg,-,?,1960/1961
391509,Piet van Neer,Goalkeeper,25,Netherlands,MVV,Willem II Tilburg,-,?,1960/1961
279811,Piet van Miert,Centre-Forward,21,Netherlands,RV & AV Sparta,DHC Delft,-,€21k,1960/1961
316435,Jan Kok,Sweeper,21,Netherlands,RV & AV Sparta,Leonidas,-,?,1960/1961
316432,Henk Janssen,Centre-Forward,23,Netherlands,RV & AV Sparta,Stormvogels,-,?,1960/1961
316873,Ben de Vries,Forward,18,Netherlands,RV & AV Sparta,Sparta Youth,-,-,1960/1961
152125,Wim van der Gijp,Midfielder,31,Netherlands,DHC Delft,RV & AV Sparta,-,?,1960/1961
503577,Hans van Yperen,Right Winger,19,Netherlands,Hermes-DVS,RV & AV Sparta,-,?,1960/1961
241301,Fred Mühring,Goalkeeper,37,Netherlands,Retired,RV & AV Sparta,-,-,1960/1961
207491,Bart Severijnse,Centre-Back,16,Netherlands,Ajax Amsterdam,Unknown,-,?,1960/1961
153799,Peet Petersen,Left Winger,19,Netherlands,Ajax Amsterdam,De Volewijckers,-,?,1960/1961
142888,Piet Keizer,Left Winger,17,Netherlands,Ajax Amsterdam,Ajax U19,-,-,1960/1961
151765,Wim Bleijenberg,Centre-Forward,29,Netherlands,Blauw-Wit,Ajax Amsterdam,-,€18k,1960/1961
207451,Bobby Haarms,Midfielder,26,Netherlands,Retired,Ajax Amsterdam,-,-,1960/1961
207296,Cor Geelhuizen,Left-Back,31,Netherlands,Retired,Ajax Amsterdam,-,-,1960/1961
240684,Jacques Westphaal,Defender,31,Netherlands,DWS/Amsterdam,Elinkwijk,-,?,1960/1961
352050,Paul Amara,Forward,24,Algeria,DWS/Amsterdam,Veendam,-,?,1960/1961
151864,Joop Burgers,Midfielder,20,Netherlands,DWS/Amsterdam,Unknown,-,?,1960/1961
242243,Cees Kick,Left Winger,23,Netherlands,NEC,DWS/Amsterdam,-,Loan,1960/1961
153038,Ferry Mesman,Defender,35,Netherlands,Retired,DWS/Amsterdam,-,-,1960/1961
153043,Humphrey Mijnals,Centre-Back,31,Netherlands,AVV DOS Utrecht,Elinkwijk,-,?,1961/1962
632016,Karel Sülzle,Right-Back,21,Netherlands,AVV DOS Utrecht,Elinkwijk,-,?,1961/1962
598411,Joop Rooders,Centre-Back,23,Netherlands,AVV DOS Utrecht,RCH,-,?,1961/1962
188769,Gerard Weber,Midfielder,19,Netherlands,AVV DOS Utrecht,Unknown,-,?,1961/1962
